Season,Wins,Winning Team
2020/21,33,Home
2020/21,38,Away
2020/21,17,Draw
2019/20 (Post Covid-19),43,Home
2019/20 (Post Covid-19),29,Away
2019/20 (Post Covid-19),20,Draw
2019/20 (Pre Covid-19),129,Home
2019/20 (Pre Covid-19),87,Away
2019/20 (Pre Covid-19),72,Draw
2016/17,187,Home
2016/17,109,Away
2016/17,84,Draw
2015/16,157,Home
2015/16,116,Away
2015/16,107,Draw
2014/15,172,Home
2014/15,115,Away
2014/15,93,Draw
2013/14,179,Home
2013/14,123,Away
2013/14,78,Draw
2012/13,166,Home
2012/13,106,Away
2012/13,108,Draw
